name,accession_lat,accession_lng,terraclimate_lat,terraclimate_lng,spring_soil_moisture,fall_soil_moisture
ISU_205,41.197173,-100.159661,41.1875,-100.1458,0.075973116,0.05482456
ISU_206,42.340837,-102.974455,42.3542,-102.9792,0.036110677,0.02753411
ISU_208,43.810755,-102.146697,43.8125,-102.1458,0.06331093,0.04117934
ISU_209,43.877053,-101.144303,43.8958,-101.1458,0.081131786,0.04459064
ISU_210,37.934438,47.632563,37.9375,47.6458,0.06940754,0.04580896
ISU_211,53.497023,-113.533243,53.4792,-113.5208,0.117242455,0.078947365
ISU_213,49.956022,-110.3364543,49.9375,-110.3542,0.09082382,0.03971735
ISU_214,49.9568264,-110.278293,49.9375,-110.2708,0.095826164,0.041423
ISU_215,49.9563396,-110.287022,49.9375,-110.2708,0.095826164,0.041423
ISU_216,49.90990777,-110.323377,49.8958,-110.3125,0.099734254,0.042641327
ISU_217,49.9525814,-110.2453,49.9375,-110.2292,0.09801469,0.042153995
ISU_218,49.95745,-110.28371,49.9375,-110.2708,0.095826164,0.041423
ISU_219,49.816,-97.076,49.8125,-97.0625,0.25980926,0.2768031
ISU_222,53.543212,-113.585174,53.5625,-113.6042,0.121775836,0.08406433
ISU_223,53.687023,-112.89951,53.6875,-112.8958,0.1571049,0.14522418
ISU_224,50.863962,-113.969249,50.8542,-113.9792,0.076598406,0.043859646
ISU_225,44.0711,-77.293116,44.0625,-77.3125,0.466156,0.56554574
ISU_226,51.028764,-114.006967,51.0208,-114.0208,0.06049711,0.037037037
ISU_227,49.699642,-112.862388,49.6875,-112.8542,0.082851335,0.04117934
ISU_229,49.051658,-113.915847,49.0625,-113.8958,0.52680945,0.47807017
ISU_230,49.8791001,-97.161595,49.8958,-97.1458,0.24433325,0.24049708
ISU_231,45.13121,-74.823397,45.1458,-74.8125,0.3078005,0.45248535
ISU_233,45.242265,-75.733428,45.2292,-75.7292,0.35735503,0.48635477
ISU_234,43.2652681,-79.7755295,43.2708,-79.7708,0.2809129,0.30604288
ISU_236,43.2659,-79.775399,43.2708,-79.7708,0.2809129,0.30604288
ISU_237,48.4529,-68.50298,48.4375,-68.5208,0.20650306,0.27290446
ISU_238,45.539376,-73.300814,45.5208,-73.3125,0.17727059,0.26973683
ISU_239,49.39774,-121.44886,49.3958,-121.4792,0.7687979,1.0
ISU_240,45.503741,-73.503,45.5208,-73.5208,0.17273721,0.25633526
ISU_241,45.40851,-75.673282,45.3958,-75.6875,0.36829764,0.5060916
ISU_242,53.421701,-113.522635,53.4375,-113.5208,0.11927466,0.085282646
ISU_243,53.418169,-113.53549,53.4375,-113.5208,0.11927466,0.085282646
ISU_244,43.82962,-79.271662,43.8125,-79.2708,0.34781927,0.41398633
ISU_245,49.659499,-110.298641,49.6458,-110.3125,0.16945443,0.06798245
ISU_246,44.680833,-66.762778,44.6875,-66.7708,0.25152415,0.35916176
ISU_250,49.924096,-119.3944102,49.9375,-119.3958,0.279506,0.12841131
ISU_251,50.5757375,-119.1049465,50.5625,-119.1042,0.39252776,0.27436644
ISU_253,48.261463,-89.134505,48.2292,-89.1458,0.3707988,0.5165692
ISU_254,53.976583,-122.562922,53.9792,-122.5625,0.38439894,0.36647174
ISU_255,49.489203,-117.30035,49.4792,-117.3125,0.43567297,0.45321637
ISU_256,45.551,-73.533,45.5625,-73.5625,0.17711426,0.2692495
ISU_257,51.169842,-115.657738,51.1875,-115.6458,0.15022667,0.12256335
ISU_258,50.89187,-114.118819,50.8958,-114.1042,0.07550415,0.0545809
ISU_259,50.935828,-113.9655,50.9375,-113.9792,0.065655775,0.038499027
ISU_260,50.910563,-114.021186,50.8958,-114.0208,0.06878224,0.042397663
ISU_261,50.925062,-113.986488,50.9375,-113.9792,0.065655775,0.038499027
MN_076,40.09,-98.52,40.1042,-98.5208,0.12333905,0.092105255
MN_077,41.4,-99.64,41.3958,-99.6458,0.071752384,0.06286549
MN_078,41.55,-98.57,41.5625,-98.5625,0.16288885,0.11866472
MN_079,42.47,-97.91,42.4792,-97.8958,0.18367985,0.115497075
MN_103,44.7,-93.07,44.6875,-93.0625,0.37329996,0.44346973
MN_104,44.7,-93.07,44.6875,-93.0625,0.37329996,0.44346973
MN_106,45.4,-93.03,45.3958,-93.0208,0.47647333,0.6237816
MN_107,45.4,-93.03,45.3958,-93.0208,0.47647333,0.6237816
MN_109,44.7,-93.07,44.6875,-93.0625,0.37329996,0.44346973
MN_110,44.7,-93.07,44.6875,-93.0625,0.37329996,0.44346973
MN_114,38.64,-90.28,38.6458,-90.2708,0.5527591,0.4183723
MN_115,38.64,-90.28,38.6458,-90.2708,0.5527591,0.4183723
MN_119,48.85,-95.76,48.8542,-95.7708,0.2987338,0.34649122
MN_120,48.85,-95.76,48.8542,-95.7708,0.2987338,0.34649122
MN_121,48.85,-95.76,48.8542,-95.7708,0.2987338,0.34649122
MN_123,48.85,-95.76,48.8542,-95.7708,0.2987338,0.34649122
MN_124,48.85,-95.76,48.8542,-95.7708,0.2987338,0.34649122
MN_126,44.43,-110.59,44.4375,-110.6042,0.33249962,0.2051657
MN_130,44.43,-110.59,44.4375,-110.6042,0.33249962,0.2051657
MN_131,44.43,-110.59,44.4375,-110.6042,0.33249962,0.2051657
MN_132,44.43,-110.59,44.4375,-110.6042,0.33249962,0.2051657
MN_133,44.43,-110.59,44.4375,-110.6042,0.33249962,0.2051657
MN_134,44.43,-110.59,44.4375,-110.6042,0.33249962,0.2051657
MN_136,44.43,-110.59,44.4375,-110.6042,0.33249962,0.2051657
MN_137,41.66,-94.52,41.6458,-94.5208,0.44395807,0.47782645
PI_633414,51.29,10.25,51.2708,10.2292,0.36564013,0.4785575
PI_633415,51.48,13.13,51.4792,13.1458,0.289667,0.2568226
PI_650284,51.31,10.28,51.3125,10.2708,0.3620447,0.47880116
PI_650286,51.16,12.28,51.1458,12.2708,0.2813819,0.25584796
PI_650287,48.53,7.48,48.5208,7.4792,0.2557449,0.2524366
950011,44.6281,5.52312,44.6458,5.5208,0.30060965,0.35721245
950012,44.6281,5.52312,44.6458,5.5208,0.30060965,0.35721245
950016,48.5403,9.03469,48.5208,9.0208,0.19102705,0.22100389
950021,48.5403,9.03469,48.5208,9.0208,0.19102705,0.22100389
950026,47.8767,8.42738,47.8958,8.4375,0.17742693,0.23050682
950028,47.9202,8.43451,47.9375,8.4375,0.17211193,0.21905458
950033,47.9202,8.43451,47.9375,8.4375,0.17211193,0.21905458
950043,48.4121,8.88356,48.3958,8.8958,0.19649835,0.22977582
950045,48.4121,8.88356,48.3958,8.8958,0.19649835,0.22977582
950052,48.3252,8.64349,48.3125,8.6458,0.19524775,0.23684208
950056,48.3252,8.64349,48.3125,8.6458,0.19524775,0.23684208
950060,51.9551,5.63725,51.9375,5.6458,0.20431453,0.36354774
950062,51.9551,5.63725,51.9375,5.6458,0.20431453,0.36354774
950066,51.8861,6.13167,51.8958,6.1458,0.22322965,0.3620858
950068,51.8861,6.13167,51.8958,6.1458,0.22322965,0.3620858
950071,51.8861,6.13167,51.8958,6.1458,0.22322965,0.3620858
950082,51.5626,11.7072,51.5625,11.6875,0.25621384,0.22002923
950083,51.5626,11.7072,51.5625,11.6875,0.25621384,0.22002923
950090,51.5458,11.9575,51.5625,11.9375,0.25449428,0.21369396
950091,51.5458,11.9575,51.5625,11.9375,0.25449428,0.21369396
950096,51.6362,11.9367,51.6458,11.9375,0.2599656,0.21978557
950097,51.6362,11.9367,51.6458,11.9375,0.2599656,0.21978557
950098,51.708,12.0079,51.6875,12.0208,0.27559793,0.24390836
